IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL,USD/TON,SINGLE HULLED,NEXT TO LAST,DATE OF CHANGE,SUB-TYPE OF SHIP,DATE SOLD FOR BREAKING,FORMER NAME,COMMENT
7821635,Abboud G.,Bulk Carrier,11151.0,,1979.0,Panama,,Nour Ship Management Company Limited,Lebanon,Nour Ship Management Company Limited,Aboud Maritime Company Limited,,Aliaga,Turkey,2014-05-27 00:00:00+00:00,,,,,,,,
7612395,Almortada,General Cargo With Container Capacity,4744.0,,1979.0,Comoros,,Rania Marina S.a.r.l.,Lebanon,Rania Marina S.a.r.l.,Al Mortada Maritime Transport,,Aliaga,Turkey,2014-06-30 00:00:00+00:00,,,,,,,,
8010300,Darsh F.,General Cargo With Container Capacity,4317.0,,1982.0,Cambodia,,Rayah Maritime Services Group,Lebanon,Rayah Maritime Services Group,Darsh F. Shipping Company SA,,Aliaga,Turkey,2014-05-07 00:00:00+00:00,,,,,,,,
7424229,Ghania,General Cargo,2937.0,,1976.0,Togo,,Faros Shipping Company Sarl,Lebanon,Faros Shipping Company Sarl,Ayat Maritime Company S.A,,Gadani,Pakistan,2014-04-03 00:00:00+00:00,,,,,,,,
8300482,Soleil,General Cargo,5651.0,,1983.0,Togo,,GMZ Ship Management Company S.A.,Lebanon,GMZ Ship Management Company S.A.,Dergham Marine S.A.,,Gadani,Pakistan,2014-10-05 00:00:00+00:00,,,,,,,,
7707085,Jenwin II,General Cargo,3938.0,,1978.0,Malaysia,,Chong Fui Shipping & Forwarding Sendirian Berhad,Malaysia,Chong Fui Shipping & Forwarding Sendirian Berhad,Chong Fui Shipping & Forwarding Sendirian Berhad,,Chittagong,Bangladesh,2014-09-06 00:00:00+00:00,,,,,,,,
7916052,Builder Success,Reefer,2678.0,,1979.0,Malaysia,,Chong Fui Shipping & Forwarding Sendirian Berhad,Malaysia,Chong Fui Shipping & Forwarding Sendirian Berhad,Chong Fui Shipping & Forwarding Sendirian Berhad,,Chittagong,Bangladesh,2014-06-06 00:00:00+00:00,,,,,,,,
7707463,Danum 151,Fully Cellular Containership,5211.0,,1980.0,Malaysia,,Shin Yang Group of Companies,Malaysia,Shin Yang Shipping Sendirian Berhad,Shin Yang Shipping Sendirian Berhad,,Chittagong,Bangladesh,2014-11-15 00:00:00+00:00,,,,,,,,
8324725,Lily Regal,Fully Cellular Containership,6670.0,,1984.0,Mongolia,,Lily Shipping & Trading (Private) Limited,Maldives,Lily Shipping & Trading (Private) Limited,Erdinger Shipping Private Limited,,Chittagong,Bangladesh,2014-11-19 00:00:00+00:00,,,,,,,,
8807038,Abyo Three / Yo-3,Bulk carrier,64303.0,,1990.0,St. Kitts-Nevis,Malta + Italy,ABY Group Holding Limited,Malta,ABY Group Holding Limited,Heron Ventures Limited,,Alang,India,2014-07-30 00:00:00+00:00,,,,2014-06-14 00:00:00,,,,
8506488,Abyo One / Yo-1,Bulk carrier,35560.0,,1987.0,Malta,Italy,ABY Group Holding Limited,Malta,ABY Group Holding Limited,Heron Ventures Limited,,Chittagong,Bangladesh,2014-06-27 00:00:00+00:00,,,,2014-03-21 00:00:00,,,,
8807026,Abyo Two / Yo 2,Bulk carrier,64303.0,,1990.0,St. Kitts-Nevis,Malta + Italy,ABY Group Holding Limited,Malta,ABY Group Holding Limited,Heron Ventures Limited,,Gadani,Pakistan,2014-07-31 00:00:00+00:00,,,,2014-04-01 00:00:00,,,,
5386057,Orka Sultan,Ferry,3464.0,,1962.0,Panama,,Orka Sultan Company Limited,Marshall Islands,Orka Sultan Company Limited,Orka Sultan Company Limited,,Aliaga,Turkey,2014-12-29 00:00:00+00:00,,,,,,,,
7821166,Corregidora,Bulk Carrier,22433.0,,1982.0,Panama,,Cemex SAB de CV,Mexico,Cemex SAB de CV,Cemex Internacional S.A. de C.V.,,Aliaga,Turkey,2014-12-16 00:00:00+00:00,,,,,,,,
8024569,Victoria II,Tanker,23236.0,,1983.0,St. Kitts-Nevis,Mexico,Government of Mexico,Mexico,Petroleos Mexicanos Gerencia de Transportacion Maritima (Pemex),Petroleos Mexicanos Gerencia de Transportacion Maritima (Pemex),,Gadani,Pakistan,2014-08-28 00:00:00+00:00,,,,2014-03-25 00:00:00,,,,
9021667,Golden,Gas Carrier,11361.0,,1993.0,St. Kitts-Nevis,Bahamas,Petredec Limited,Monaco,Petredec Limited,Agincourt Marine Company Limited,,Alang,India,2014-07-24 00:00:00+00:00,,,,2014-05-23 00:00:00,,,,
8902395,Eurus Lima,Fully Cellular Containership,19595.0,,1990.0,Liberia,,Zodiac Group Monaco,Monaco,Societe Anonyme Monegasque d'Administration Maritime et Aerienne (SAMAMA),Eurus Lima LLC,,Alang,India,2014-11-17 00:00:00+00:00,,,,,,,,
9077379,Cape Hawk,Bulk carrier,81589.0,,1995.0,Liberia,,Quantum Pacific Shipping Group,Monaco,Eastern Pacific Shipping Private Limited,Corrine Navigation S.A.,,Chittagong,Bangladesh,2014-12-22 00:00:00+00:00,,,,,,,,
8902400,Eurus Lisbone,Fully Cellular Containership,19595.0,,1991.0,Liberia,,Zodiac Group Monaco,Monaco,Societe Anonyme Monegasque d'Administration Maritime et Aerienne (SAMAMA),Eurus Lisbon LLC,,Chittagong,Bangladesh,2014-12-05 00:00:00+00:00,,,,,,,,
9015321,Eurus London,Fully Cellular Refrigerated,19595.0,,1992.0,Liberia,,Zodiac Group Monaco,Monaco,Societe Anonyme Monegasque d'Administration Maritime et Aerienne (SAMAMA),Eurus London LLC,,Chittagong,Bangladesh,2014-12-06 00:00:00+00:00,,,,,,,,
8121070,Mandalay,General Cargo,9754.0,,1983.0,Myanmar,,Government of the Union of Myanmar,Myanmar,Myanma Five Star Line,Myanma Five Star Line,,,,2014-01-01 00:00:00+00:00,,,,,,,,
8718873,Daniella,General Cargo,5818.0,,1989.0,Netherlands,,Kahn Scheepvaart B.V.,Netherlands,Kahn Scheepvaart B.V.,Daniella NV,,Aliaga,Turkey,2014-03-07 00:00:00+00:00,,,,,,,,
9007776,Alcon,Tanker,39036.0,,1992.0,St. Kitts-Nevis,Liberia,J. Bekkers Company BV,Netherlands,J. Bekkers Company BV,Falcon Carrier Shipping Limited,,Chittagong,Bangladesh,2013-12-28 00:00:00+00:00,,,,08/13/13,,,,
8811948,Chan,General Cargo,7949.0,,1990.0,Tuvalu,Netherlands,Spliethoff's Bevrachtingskantoor B.V.,Netherlands,Spliethoff's Bevrachtingskantoor B.V.,Rederij Archangelgracht,,Chittagong,Bangladesh,2014-02-21 00:00:00+00:00,,,,2014-02-21 00:00:00,,,,
7203663,Torrens,Livestock,8508.0,,1972.0,Tonga,,Vroon B.V.,Netherlands,Vroon B.V.,Livestock Carrier 1 B.V.,,Chittagong,Bangladesh,2014-07-15 00:00:00+00:00,,,,,,,,
7359199,Rekefjord Stone,General Cargo,3123.0,,1975.0,Malta,,Shipowners Support B.V.,Netherlands,Shipowners Support B.V.,Hertig B.V.,,Ghent,Belgium,2014-05-30 00:00:00+00:00,,,,,,,,
7024550,L'Espoir,Seismographic Research,1168.0,,1971.0,Netherlands,,Chase Seismic Survey B.V.,Netherlands,Chase Seismic Survey B.V.,Bon Espoir Survey B.V.,,sGravendeel,Netherlands,2014-03-04 00:00:00+00:00,,,,,,,,
8207006,Rose,Tanker,11088.0,,1984.0,Sierra Leone,,Azimuth Shipping Lines Limited,Nigeria,Azimuth Shipping Lines Limited,Delakes Oil Trading Limited,,Alang,India,2014-06-11 00:00:00+00:00,,,,,,,,
7343853,Walvis 8,Tug/supply,1049.0,,1973.0,St. Vincent & Grenadines,,The Sea Trucks Group,Nigeria,Walvis Nigeria Limited,Panfield Limited,,Alang,India,2014-01-01 00:00:00+00:00,,,,,,,,
7924176,Lister,Chemical Tanker,6763.0,,1982.0,Malta,,Genesis Worldwide Shipping & Trading Company Limited,Nigeria,Genesis Worldwide Shipping & Trading Company Limited,Etna Management Limited,,Aliaga,Turkey,2014-02-08 00:00:00+00:00,,,,,,,,
8808501,Yug,Tanker,22607.0,,1991.0,Tanzania,Panama,Snow White Energy Limited,Nigeria,Snow White Energy Limited,Snow White Energy Limited,,Gadani,Pakistan,2014-11-19 00:00:00+00:00,,,,2014-09-10 00:00:00,,,,
8328616,Pe Gae Bong,General Cargo,6500.0,,1980.0,North Korea,,"Korea,Government of the Democratic People's Republic of",North Korea,Ocean Maritime Management Company Limited,Sohae Sonbak Company Limited,,Jiangyin,China,2014-03-10 00:00:00+00:00,,,,,,,,
7516424,Bu Hung,General Cargo With Container Capacity,5386.0,,1977.0,North Korea,,"Korea,Government of the Democratic People's Republic of",North Korea,"Korea,Government of the Democratic People's Republic of",Korea Rungrado Shipping Company,,Jiangyin,China,2014-01-26 00:00:00+00:00,,,,,,,,
7632955,Myong San 1,General Cargo With Container Capacity,9959.0,,1978.0,North Korea,,"Korea,Government of the Democratic People's Republic of",North Korea,Ocean Maritime Management Company Limited,Taedonggang Sonbak Company Limited,,Jiangyin,China,2014-08-22 00:00:00+00:00,,,,,,,,
8002274,So Hung 1,General Cargo,1212.0,,1980.0,North Korea,,"Korea,Government of the Democratic People's Republic of",North Korea,Korea Kangsong General Trading Corporation,Korea Kangsong General Trading Corporation,,Zhangjiagang,China,2014-06-19 00:00:00+00:00,,,,,,,,
7738656,Tae Dong Gang,General Cargo,9076.0,,1976.0,North Korea,,"Korea,Government of the Democratic People's Republic of",North Korea,Ocean Maritime Management Company Limited,Sohae Sonbak Company Limited,,Zhangjiagang,China,2014-05-16 00:00:00+00:00,,,,,,,,
