IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL,USD/TON,SINGLE HULLED,NEXT TO LAST,DATE OF CHANGE,SUB-TYPE OF SHIP,DATE SOLD FOR BREAKING,FORMER NAME,COMMENT
7705635,Beena,Bulker,,20586.0,1978.0,Cambodia,,International Bulk Carrier S.p.A.,Algeria,International Bulk Carrier S.p.A.,International Bulk Carrier S.p.A.,,"Alang, India",,2012-01-01 00:00:00,432.0,True,,,,,,
7305502,Iron Monarch,RoRo,,,1973.0,Australia,,Bluescope Steel Limited,Australia,Bluescope Steel Limited,Bluescope Steel (AIS) Proprietary Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9000948,Akarita,Crude Oil Tanker,,17081.0,1991.0,Bahamas,,Teekay Corporation,Bahamas,Teekay Marine Services AS,Delphine Shipping Incorporated,,"Alang, India",,2012-01-01 00:00:00,496.0,False,,,,,,
6607525,Amsterdam,Tug,,,1966.0,Bahrain,,Abdulla Ahmed Nass,Bahrain,Abdulla Ahmed Nass,Gulf Development Corporation E.C.,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8401353,Eagle N.,Bulker,,,1985.0,Panama,,Silvia Shipmanagement Limited,Bangladesh,Silvia Shipmanagement Limited,Union Care Investments Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8613011,Indian Ocean,Reefer,,6805.0,1989.0,Bahamas,,Trireme Vessel Management N.V.,Belgium,Trireme Vessel Management N.V.,Indian Ocean Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,405.0,True,,,,,,
7387017,Hardt,Asphalt Tanker,,2677.0,1975.0,Equatorial Guinea,,Maritec N.V.,Belgium,Maritec N.V.,Actinor Shipping S.A.,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9036507,Saraswati,Bulk and oil carrier,,,1993.0,St Kitts-Nevis,,B+H Ocean Carriers Limited,Bermuda,B+H Ocean Carriers Limited,Sakonnet Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9007269,Ipanema,RoRo,,,1992.0,Brazil,,Transroll Navegacao S.A.,Brazil,Transroll Navegacao S.A.,Transroll Navegacao S.A.,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8501799,Boucas,Product tanker,,,1989.0,Tanzania,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN,Brazil,Petrobras Transporte S.A. (TRANSPETRO),Petrobras Transporte S.A. (TRANSPETRO),,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8006256,Kamenitza,Bulker,,7636.0,1980.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Navigation Maritime Bulgare Limited (NAVIBULGAR),,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8120375,Okoltchitza,Bulker,,7836.0,1982.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Navigation Maritime Bulgare Limited (NAVIBULGAR),,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8912479,Plovdiv,Containership,,6635.0,1989.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Plovdiv Maritime Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8915861,Teteven,General Cargo ship,,4528.0,1990.0,Bulgaria,,Government of Bulgaria,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR),Sofia Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,355.0,False,,,,,,
8222599,Kaliakra,Bulker,,7755.0,1984.0,Malta,,Cosmos Shipping AD,Bulgaria,Cosmos Shipping AD,Kaliakra Limited,,"Alang, India",,2012-01-01 00:00:00,473.0,True,,,,,,
9038933,Napier,Reefer,,5288.0,1994.0,Comoros,,Siem Industries Incorporated,Cayman Islands,Siem Shipping Incorporated,Star Reefers Shipowning Incorporated,,"Alang, India",,2012-01-01 00:00:00,576.0,False,,,,,,
8814304,Argentina,Reefer,,,1992.0,Liberia,,Siem Industries Incorporated,Cayman Islands,Siem Shipping Incorporated,Star Reefers Shipowning Incorporated,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8307870,Don Raul,Bulker,,7292.0,1985.0,Panama,,Empresa Maritima S.A.,Chile,Empresa Maritima S.A.,Empresa Maritima S.A.,,"Alang, India",,2012-01-01 00:00:00,320.0,True,,,,,,
6615106,Arau,Product tanker,,,1967.0,Sierra Leone,,Government of Chile,Chile,Government of Chile,Government of Chile,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8811704,Yong An Men,RoRo,,9210.0,1990.0,China,,Nanjing Ocean Shipping Company Limited,China,Nanjing Ocean Shipping Company Limited,Xing Zhong Men Shipping,,"Alang, India",,2012-01-01 00:00:00,375.0,True,,,,,,
8124917,MSC Sarawak,Containership,,14544.0,1983.0,Hong Kong,,Centrans Ocean Shipping Logistics Group,China,Tianjin Centrans Shipping Management Company Limited,Venus Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,480.0,True,,,,,,
8401767,Shao Shan 1,Bulker,,7989.0,1984.0,Hong Kong,,China Ocean Shipping (Group) Company (COSCO),China,Hunan Ocean Shipping Company (COSCO Hunan),Shao Shan Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,485.0,True,,,,,,
8913942,Qinfa 9,Bulker,,12157.0,1990.0,Hong Kong,,Hong Kong Qinfa Shipping Limited,China,Hong Kong Qinfa Shipping Limited,Perpetual Goodluck Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8323472,Vista,Bulker,,,1987.0,Marshall Islands,,View Marine Limited,China,View Marine Limited,View Marine Limited,,"Alang, India",,2012-01-01 00:00:00,465.0,False,,,,,,
8314457,Jasmin,Bulker,,10328.0,1985.0,Panama,,ATL Shipping Limited,China,ATL Shipping Limited,Frankseddy Management Incorporated,,"Alang, India",,2012-01-01 00:00:00,403.0,False,,,,,,
8706624,Aonoble,Bulker,,13990.0,1988.0,Panama,,China Ocean Shipping (Group) Company (COSCO),China,COSCO Shanghai Ship Management Company Limited (COSHIPMAN),Aonoble Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,420.0,False,,,,,,
7932616,SC Excellent,Bulker,,,1981.0,Panama,,Evergood Shipping Limited,China,Evergood Shipping Limited,Evergood Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8322856,Chang Tai,General cargo ship,,,1984.0,Panama,,Hengfa Shipping Incorporated,China,Hengfa Shipping Incorporated,Big Good Group Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8400440,Qinfa 6,Bulker,,12553.0,1984.0,Panama,,Hong Kong Qinfa Shipping Limited,China,Hong Kong Qinfa Shipping Limited,Hong Kong Qinfa Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,418.0,True,,,,,,
8209121,Hong Virtue,General cargo ship,,7976.0,1983.0,Panama,,Hongyuan Marine Company Limited,China,Hongyuan Marine Company Limited,Hong Virtue Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8209638,Top Advancer,General cargo ship,,8055.0,1983.0,Panama,,Hubei Qintai Shipping Company Limited,China,Hubei Qintai Shipping Company Limited,Top Field Asia Pacific Limited,,"Alang, India",,2012-01-01 00:00:00,489.0,False,,,,,,
8028864,Heng Shun Da,Bulker,,9180.0,1983.0,Panama,,Jinrun Shipping Company Limited,China,Jinrun Shipping Company Limited,HSD Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,375.0,False,,,,,,
7908902,Hua Jin Hu,Bulker,,11596.0,1981.0,Panama,,Nanjing Hua Hai Shipping Company Limited,China,Nanjing Hua Hai Shipping Company Limited,HK Huajinhu Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,495.0,True,,,,,,
8802430,Welmountain,Bulk ore carrier,,24308.0,1989.0,Panama,,Oriental Ocean Shipping Holding Private Limited,China,Oriental Ocean Shipping Holding Private Limited,Hongyang Shipping Private Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8407668,Princess Katherine,Bulk and oil carrier,,,1986.0,Sierra Leone,,China Ocean Shipping (Group) Company (COSCO),China,COSCO Shanghai Ship Management Company Limited (COSHIPMAN),Proflourish International Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,440.0,False,,,,,,
8007987,Asia Star,Chemical and oil tanker,,,1982.0,Singapore,,CSC Nanjing Tanker Corporation,China,CSC Oil Transportation Private Limited,Shun Da Marine Transportation Company (S) Private Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8130253,Yuan Tong,General cargo ship,,,1985.0,St Vincent & Grenadines,,Hongyuan Marine Company Limited,China,Hongyuan Marine Company Limited,Yuan Tong Maritime Company Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8421963,Yuan Cheng,General cargo ship,,7560.0,1986.0,St Vincent & Grenadines,,Nanjing Ocean Shipping Company Limited,China,Nanjing Ocean Shipping Company Limited,Yong Ding Men Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,405.0,True,,,,,,
7918268,Great On,Bulker,,11480.0,1981.0,Tuvalu,,Fujian Xinan Shipping Company Limited,China,Fujian Xinan Shipping Company Limited,Great One Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8308068,Karolina,Bulker,,8029.0,1986.0,Malta,,Losinjska Plovidba Brodarstvo d.o.o.,Croatia,Losinjska Plovidba Brodarstvo d.o.o.,Losinjska Plovidba Brodarstvo d.o.o.,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8318855,Karmen,March,,9359.0,1983.0,St Vincent & Grenadines,,Losinjska Plovidba Brodarstvo d.o.o.,Croatia,Losinjska Plovidba Brodarstvo d.o.o.,River Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,480.0,True,,,,,,
7380760,Heron,General Cargo ship,,10627.0,1975.0,Bahamas,,SMT Shipmanagement & Transport Limited,Cyprus,SMT Shipmanagement & Transport Limited,Heron Limited,,"Alang, India",,2012-01-01 00:00:00,495.0,False,,,,,,
7715965,Miranda,General Cargo ship,,14275.0,1979.0,Bahamas,,SMT Shipmanagement & Transport Limited,Cyprus,SMT Shipmanagement & Transport Limited,Miranda Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,500.0,True,,,,,,
8009466,Conti Express,Containership,,8815.0,1981.0,Cyprus,,Cyprus Maritime Company Limited,Cyprus,Cyprus Maritime Company Limited,Applegate Marine Company Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
7524201,Alida Gorthon,General cargo ship,,,1977.0,Cyprus,,Lemissoler Shipmanagement Company Limited,Cyprus,Lemissoler Shipmanagement Company Limited,Blow Sea Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
7612656,Forest Trader,General cargo ship,,6318.0,1977.0,Cyprus,,Lemissoler Shipmanagement Company Limited,Cyprus,Lemissoler Shipmanagement Company Limited,Blow Wind Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8421975,Texas,General cargo ship,,7628.0,1987.0,Cyprus,,Oceanmaris Management Incorporated,Cyprus,Oceanstar Management Incorporated,Avonette Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
7725702,Victoria,Bulker,,5150.0,1979.0,Dominica,,Sadent Shipping Limited,Cyprus,Sadent Shipping Limited,World Shipping Limited - Belize,,"Alang, India",,2012-01-01 00:00:00,428.0,True,,,,,,
8917754,China,Bulker,,20528.0,1992.0,Liberia,,Lemissoler Shipmanagement Company Limited,Cyprus,Lemissoler Shipmanagement Company Limited,Prime Time Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
7433062,Sea Dream,Bulker,,7296.0,1981.0,Malta,,SP Shipmanagement Limited,Cyprus,SP Shipmanagement Limited,Nadezhda Marine Limited,,"Alang, India",,2012-01-01 00:00:00,500.0,False,,,,,,
8217025,Grace,Containership,,14342.0,1984.0,Marshall Islands,,Lemissoler Shipmanagement Company Limited,Cyprus,Lemissoler Shipmanagement Company Limited,Prime Sky Maritime Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8204523,Greet,Containership,,14180.0,1984.0,Marshall Islands,,Lemissoler Shipmanagement Company Limited,Cyprus,Lemissoler Shipmanagement Company Limited,Prime Star Maritime Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9137909,Champion 1,Containership,,11950.0,1997.0,St Kitts-Nevis,,Interorient Navigation Company Limited,Cyprus,Interorient Marine Services (Germany) GmbH & Company KG,CTO Gesellschaft fur Container Transport mbH & Company ms Champion KG,,"Alang, India",,2012-01-01 00:00:00,407.0,False,,,,,,
5312824,Emerald,Passenger Ship,,16007.0,1958.0,St Kitts-Nevis,,Louis plc,Cyprus,Louis Cruises Limited,Ionian Cruise Lines S.A.,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9004205,Sujin,Containership,,4950.0,1992.0,Malta,,Dania Marine ApS,Denmark,Dania Marine ApS,K/S mv Sujin,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
7716660,Marienborg,Ro-Ro,,14120.0,1979.0,Panama,,Dannebrog Rederi AS,Denmark,Dannebrog Rederi AS,Nordana Shipping Singapore Private Limited,,"Alang, India",,2012-01-01 00:00:00,450.0,True,,,,,,
9014729,Power 11,Bulk and Oil Carrier,,14650.0,1992.0,St Kitts-Nevis,,Dansk Investeringsfond (DIFKO),Denmark,Dansk Investeringsfond (DIFKO),K/S Difko LXXIII,,"Alang, India",,2012-01-01 00:00:00,415.0,False,,,,,,
8316302,Tiran,Bulker,,6243.0,1984.0,Panama,,Red Sea Navigation Company,Egypt,Sea Gate Management Company S.A.,Phoenix Navigation Company S.A.,,"Alang, India",,2012-01-01 00:00:00,388.0,True,,,,,,
9082790,Elisabeth,Containership,,7400.0,1995.0,Antigua & Barbuda,,Rickmers Reederei GmbH & Cie KG,Germany,Rickmers Reederei GmbH & Cie KG,ms Elisabeth Rickmers Schiffsbeteiligungs GmbH & CompanyKG,,"Alang, India",,2012-01-01 00:00:00,442.0,True,,,,,,
8908179,Lais,Containership,,6710.0,1990.0,Comoros,,Conti Holding GmbH & Company KG,Germany,Conti Reederei Management GmbH & Company Konzeptions KG,Conti Cristallo Schiffahrts-GmbH & Company KG ms Contship La Spezia,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9113630,Conti Shanghai,Containership,,14850.0,1996.0,Germany,,Conti Holding GmbH & Company KG,Germany,Conti Reederei Management GmbH & Company Konzeptions KG,Conti Shipping GmbH & Company KG ms Norasia Shanghai,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9070967,India,Containership,,13542.0,1994.0,Germany,,Leonhardt & Blumberg Group,Germany,Leonhardt & Blumberg Schiffahrtsges. mbH & Company,Schiffahrts-Gesellschaft Hansa India mbH & Company,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9053244,Asia,Containership,,6940.0,1993.0,Liberia,,Conti Holding GmbH & Company KG,Germany,Conti Reederei Management GmbH & Company Konzeptions KG,Conti Zweite Cristallo Schiffahrts-GmbH & Company KG ms Contship Asia,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8808599,Crown,Containership,,7125.0,1989.0,Liberia,,Conti Holding GmbH & Company KG,Germany,NSB Niederelbe Schiffahrtsgesellschaft mbH & Company KG,Buxmar Container Schiffahrtsgesellschaft GmbH & Company KG,,"Alang, India",,2012-01-01 00:00:00,427.0,False,,,,,,
9112894,Cape Natal,Containership,,8220.0,1995.0,Liberia,,Dr. Peters GmbH & Company KG,Germany,Dr. Peters GmbH & Company KG,DS-Rendite-Fonds Nr.43 ms Cape Natal Gmbh & Company,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9134696,Cape Scott,Containership,,5822.0,1997.0,Liberia,,Dr. Peters GmbH & Company KG,Germany,DS-Schiffahrt GmbH & Company KG,DS-Rendite-Fonds Nr.51 ms Cape Scott GmbH & Company Containerschiff KG,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9015527,Hanjin Osaka,Containership,,,1992.0,Liberia,,F. Laeisz Schiffahrtsges.mbH & Company,Germany,F. Laeisz Schiffahrtsges.mbH & Company,Pelapas Maritime Incorporated,,"Alang, India",,2012-01-01 00:00:00,447.0,True,,,,,,
9008548,Palermo,Containership,,12297.0,1992.0,Liberia,,F. Laeisz Schiffahrtsges.mbH & Company,Germany,Reederei F. Laeisz GmbH,ms Palermo Senator GmbH & Company KG,,"Alang, India",,2012-01-01 00:00:00,495.0,False,,,,,,
9080534,Trave Trader,Containership,,7352.0,1994.0,Liberia,,Hermann Buss GmbH & Cie KG,Germany,Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Trave Trader GmbH & Company,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9070656,Elis,Containership,,8574.0,1994.0,Liberia,,Martime-Gesellschaft fur Maritime Dienstleistungen mbH,Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH,ms Elisabeth Transcon Beteiligungsges. mbH & Company KG,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9122215,Tag 81,Containership,,11850.0,1996.0,Liberia,,Martime-Gesellschaft fur Maritime Dienstleistungen mbH,Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH,CTO Gesellschaft fur Container Transport mbH & Company ms Tegesos KG,,"Alang, India",,2012-01-01 00:00:00,407.0,False,,,,,,
9085338,Mosel N.,Bulker,,16477.0,1995.0,Liberia,,Neu Seeschiffahrt GmbH,Germany,Neu Seeschiffahrt GmbH,Mosel Ore Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,410.0,True,,,,,,
8513807,Buxmaster,Containership,,6837.0,1986.0,Liberia,,Norddeutsche Vermogen Holding GmbH & Company,Germany,Norddeutsche Vermogensanlage GmbH & Company KG,Reederei Unterelbe GmbH & Company Schiffahrts KG,,"Alang, India",,2012-01-01 00:00:00,510.0,False,,,,,,
9134567,Ayo,Containership,,8040.0,1998.0,Liberia,,NSC Holding GmbH & Cie KG,Germany,NSC Schifffahrtsgesellschaft mbH & Cie. KG,FHH Fonds Nr. 27 ms Silver Bay-ms Sunset Bay GmbH & Company Containerschiff KG,,"Alang, India",,2012-01-01 00:00:00,411.0,True,,,,,,
8203696,Baco-Liner 3,Barge Container Carrier,,9104.0,1984.0,Liberia,,Seereederei Baco-Liner GmbH,Germany,Seereederei Baco-Liner GmbH,Baco-Liner 3 Shipping Company,,"Alang, India",,2012-01-01 00:00:00,365.0,False,,,,,,
7701641,Algoa Bay,General Cargo ship,,8965.0,1978.0,Marshall Islands,,MACS Maritime Carrier Shipping GmbH & Company KG,Germany,MACS Maritime Carrier Shipping GmbH & Company KG,Algoa Bay Shipping Corporation,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9057161,R. Partner,Containership,,,1994.0,Marshall Islands,,Reederei Nord GmbH,Germany,Reederei Nord GmbH,Nordpartner Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,445.0,True,,,,,,
8201791,Invicta,Bulk Cement Carrier,,4594.0,1983.0,Panama,,John T. Essberger GmbH & Company,Germany,John T. Essberger GmbH & Company,Lafarge Shipping Services Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9005417,Ape R.,Containership,,13496.0,1993.0,Sierra Leone,,Dr. Peters GmbH & Company KG,Germany,Dr. Peters GmbH & Company KG,DS-Rendite-Fonds Nr.45 ms Cape Race GmbH & Company Containerschiff KG,,"Alang, India",,2012-01-01 00:00:00,348.0,True,,,,,,
9062972,TSM,Containership,,,1995.0,Sierra Leone,,Norddeutsche Vermogen Holding GmbH & Company,Germany,H. Schuldt OHG (GmbH & Company),Schiffahrtsgesellschaft ms Lutjenburg mbH & Company KG,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9158977,M.Sky,Containership,,10265.0,1997.0,St Kitts-Nevis,,F.A. Vinnen & Company GmbH & Company KG,Germany,F.A. Vinnen & Company GmbH & Company KG,Erste Schiffahrts-Gesellschaft Merkur Sky mbH & Company KG,,"Alang, India",,2012-01-01 00:00:00,422.0,False,,,,,,
8204626,Endura,Containership,,13365.0,1983.0,St Kitts-Nevis,,Hapag-Lloyd Aktiengesellschaft,Germany,Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd Ships Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8208270,Express,Containership,,15534.0,1984.0,St Kitts-Nevis,,Hapag-Lloyd Aktiengesellschaft,Germany,Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd (Eastwind) Private Limited,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
8208268,Go Express,Containership,,8489.0,1984.0,St Kitts-Nevis,,Hapag-Lloyd Aktiengesellschaft,Germany,Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd (Eastwind) Private Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8103406,Tower,Containership,,13820.0,1982.0,St Kitts-Nevis,,Hapag-Lloyd Aktiengesellschaft,Germany,Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd Aktiengesellschaft,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9123104,A. Trader,Containership,,7376.0,1996.0,St Kitts-Nevis,,Hermann Buss GmbH & Cie KG,Germany,Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Atlantic Trader GmbH & Company,,"Alang, India",,2012-01-01 00:00:00,425.0,True,,,,,,
9080522,E. Trader,Containership,,7170.0,1994.0,St Kitts-Nevis,,Hermann Buss GmbH & Cie KG,Germany,Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Elbe Trader GmbH & Company,,"Alang, India",,2012-01-01 00:00:00,425.0,True,,,,,,
9141132,Ducia,Containership,,7329.0,1997.0,St Kitts-Nevis,,Martime-Gesellschaft fur Maritime Dienstleistungen mbH,Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH,ms Fiducia Transcon Beteiligungsges. mbH & Company KG,,"Alang, India",,2012-01-01 00:00:00,485.0,True,,,,,,
9082386,Felicity,Containership,,7135.0,1994.0,St Kitts-Nevis,,Norddeutsche Vermogen Holding GmbH & Company,Germany,Norddeutsche Vermogensanlage GmbH & Company KG,Beteiligungs KG ms Northern Felicity,,"Alang, India",,2012-01-01 00:00:00,435.0,True,,,,,,
8918992,Nica,Containership,,8515.0,1991.0,St Kitts-Nevis,,Reederei Claus-Peter Offen (GmbH & Company KG),Germany,Reederei Claus-Peter Offen (GmbH & Company KG),Kommanditgesellschaft ms Santa Monica Beteiligungsges mbH,,"Alang, India",,2012-01-01 00:00:00,355.0,False,,,,,,
9104897,C Wind,Containership,,14435.0,1995.0,St Kitts-Nevis,,Reederei Karl Schluter GmbH & Company KG,Germany,Reederei Karl Schluter GmbH & Company KG,Beteiligungs KG ms Northern Dignity Schiffahrtsges. mbH & Company,,"Alang, India",,2012-01-01 00:00:00,455.0,True,,,,,,
8901858,G.S.M.,Containership,,8596.0,1990.0,St Kitts-Nevis,,Reederei Karl Schluter GmbH & Company KG,Germany,Reederei Karl Schluter GmbH & Company KG,KG RGR-Reedereigesellschaft Rendsburg mbH & Company ms German Senator,,"Alang, India",,2012-01-01 00:00:00,,False,,,,,,
9070761,SPM,Containership,,7734.0,1994.0,St Kitts-Nevis,,Reederei Karl Schluter GmbH & Company KG,Germany,Reederei Karl Schluter GmbH & Company KG,ms Northern Harmony Schiffahrtsgesellschaft mbH & Company KG,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9081734,Eva,Containership,,7015.0,1994.0,St Kitts-Nevis,,XSM Cross Ship Management GmbH,Germany,XSM Cross Ship Management GmbH,Teval Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,326.0,True,,,,,,
9070008,Glory 2,Containership,,7015.0,1994.0,St Kitts-Nevis,,XSM Cross Ship Management GmbH,Germany,XSM Cross Ship Management GmbH,Marwan Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
9123116,Trader,Containership,,7393.0,1996.0,Tuvalu,,Hermann Buss GmbH & Cie KG,Germany,Hermann Buss GmbH & Cie KG,Hermann Buss KG ms Pacific Trader GmbH & Company,,"Alang, India",,2012-01-01 00:00:00,407.0,True,,,,,,
9046215,San Enzo,Containership,,6911.0,1993.0,Tuvalu,,Reederei Claus-Peter Offen (GmbH & Company KG),Germany,Reederei Claus-Peter Offen (GmbH & Company KG),KG ms San Lorenzo Contrans Beteiligungsgesellschaft GmbH & Company,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8713603,Capricorn,Reefer,,5702.0,1990.0,Bahamas,,Chartworld Shipping Corporation,Greece,Chartworld Shipping Corporation,Capricorn Shipping Corporation,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8103286,Blue Mariner,Bulker,,7604.0,1982.0,Cyprus,,Blue Shipmanagement Corporation,Greece,Blue Shipmanagement Corporation,Addersea Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,472.0,True,,,,,,
8009454,Pacific Express,General Cargo ship,,8815.0,1981.0,Cyprus,,Cyprus Maritime Company Limited,Greece,Cyprus Maritime Company Limited,Estelle Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,,True,,,,,,
8100961,Panamax Dawn,Bulker,,12367.0,1983.0,Cyprus,,Cyprus Maritime Company Limited,Greece,Cyprus Maritime Company Limited,Rosehill Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,502.0,True,,,,,,
8204420,Panamax Strength,Bulker,,10982.0,1983.0,Cyprus,,Cyprus Maritime Company Limited,Greece,Cyprus Maritime Company Limited,Nafpaktos Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,475.0,True,,,,,,
8109137,Panamax Success,Bulker,,12197.0,1983.0,Cyprus,,Cyprus Maritime Company Limited,Greece,Cyprus Maritime Company Limited,Tapton Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,500.0,True,,,,,,
8023967,Panamax Sun,Bulker,,12299.0,1982.0,Cyprus,,Cyprus Maritime Company Limited,Greece,Cyprus Maritime Company Limited,Metromar Marine Company Limited,,"Alang, India",,2012-01-01 00:00:00,505.0,True,,,,,,
8308109,Montreal,Containership,,14466.0,1984.0,Cyprus,,Danaos Corporation,Greece,Danaos Shipping Company Limited,Deleas Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,482.0,True,,,,,,
8314809,Ocean Leader,Bulker,,6385.0,1984.0,Cyprus,,Kristen Marine S.A.,Greece,Kristen Marine S.A.,Ocean Nav. Shipping Limited,,"Alang, India",,2012-01-01 00:00:00,505.0,False,,,,,,
8309725,Proikonissos,Bulker,,6897.0,1985.0,Cyprus,,Marmaras Navigation Limited,Greece,Marmaras Navigation Limited,Seaglance Maritime Limited,,"Alang, India",,2012-01-01 00:00:00,425.0,True,,,,,,
8202111,MSC Rugby,Containership,,13891.0,1983.0,Cyprus,,Tsakos Shipping and Trading S.A.,Greece,Tsakos Shipping and Trading S.A.,Melitea Shipping Company Limited,,"Alang, India",,2012-01-01 00:00:00,523.0,True,,,,,,
9053127,Zeinat 3,Product Tanker,,16248.0,1995.0,Egypt,,Chandris Group,Greece,Pyramid Navigation Company E.S.A.,Pyramid Navigation Company E.S.A.,,"Alang, India",,2012-01-01 00:00:00,510.0,False,,,,,,
7410826,Tofton,General Cargo ship,,6800.0,1980.0,Gibraltar,,Regal Agencies Corporation,Greece,Regal Agencies Corporation,Filon Company Limited,,"Alang, India",,2012-01-01 00:00:00,465.0,True,,,,,,
